"iso_o","year","ck","pop_o","area_o","TO","temperature","rainfall","openness_hat","AperP","ckperP"
"MDV",2009,8035.59228515625,354501,298,1.3611208217,28.2390833333333,194.310241666667,0.0491429885179138,0.000840618221105159,0.0226673331955516
"MDV",2010,9030.9970703125,364511,298,1.4298250697,28.21325,184.950608333333,0.0211983711636623,0.000817533627243074,0.0247756503104502
"MDV",2011,10636.8271484375,375131,298,1.7076555052,28.120325,150.551325,0.000794931186168936,0.000794389160053421,0.0283549670606735
"MDV",2012,11337.8603515625,386203,298,1.6050309122,28.2228333333333,165.400658333333,0.000994610280247798,0.000771614927900612,0.0293572560326111
"MDV",2013,12289.1396484375,397397,298,1.6107536067,28.1755416666667,188.433608333333,0.016250185102977,0.000749879843078836,0.0309240876212893
"MDV",2014,13602.8427734375,408247,298,1.6372116167,28.2438833333333,172.031941666667,0.0102314493483078,0.000729950250706068,0.0333201291704226
"MEX",2002,2552781.5,104355608,1967210,0.466979147,21.099425,60.5416991666667,0.00174600985162815,0.0188510233201842,0.0244623317225079
"MEX",2003,2751030,105640453,1967210,0.5020568946,21.1657,63.26632,0.00589846977514821,0.0186217489998836,0.0260414445591217
"MEX",2004,3077106,106995583,1967210,0.5842432149,20.9460416666667,70.3777616666667,0.00565027970383067,0.0183858991637066,0.0287591871899983
"MEX",2005,3530969,108472228,1967210,0.6235912383,21.2996333333333,60.5218666666667,0.000221879594802123,0.0181356097894477,0.0325518251547299
"MEX",2006,3770402,110092378,1967210,0.5609272463,21.4469916666667,65.5332541666667,0.0025114776168451,0.0178687211207301,0.0342476206663462
"MEX",2007,3924123.75,111836346,1967210,0.5679527936,21.0276666666667,64.3632591666667,0.00121119144189114,0.0175900775585068,0.0350880897879121
"MEX",2008,4036199.75,113661809,1967210,0.5777703093,21.0213333333333,65.4208216666667,0.0188840336646686,0.0173075725022114,0.0355106062934473
"MEX",2009,4474886.5,115505228,1967210,0.5596776976,21.5343333333333,55.2518341666667,0.00627184310623503,0.0170313503039014,0.0387418524467135
"MEX",2010,5054693,117318941,1967210,0.6076031847,20.749575,67.3174941666667,0.0011044730131645,0.016768051119725,0.0430850547824157
"MEX",2011,5878632,119090017,1967210,0.6346967792,21.5414583333333,56.8399,0.00280949656757604,0.0165186809906997,0.0493629285484106
"MEX",2012,6089363.5,120828307,1967210,0.6576724582,21.5927166666667,58.7297583333333,0.00617122656679619,0.0162810358668685,0.0503968287828447
"MEX",2013,6357978.5,122535969,1967210,0.6376487661,21.1770166666667,76.0606666666667,0.00119953144955573,0.0160541432532353,0.051886630120826
"MEX",2014,6677512,124221600,1967210,0.6496357919,21.5132083333333,70.1338791666667,0.000872620775584225,0.015836295781088,0.0537548381279906
"MLI",2002,15726.9716796875,11638929,1240142,0.5782929137,29.18205,21.3699366666667,0.000514568087567551,0.106551212744747,0.0013512387333652
"MLI",2003,16558.267578125,12005128,1240142,0.586281417,29.1800416666667,30.51586,0.000422651481338715,0.103301022696301,0.0013792662250769
